Length;Input;Sum;Substract;Multipl;Divide1;Divide2;OutputToStr
5241;0.016821;0.000014;0.000017;0.004711;0.009244;0.009203;2.979335
5261;0.017782;0.000021;0.000020;0.004731;0.011815;0.012093;3.051819
5281;0.017363;0.000011;0.000014;0.005083;0.009646;0.010689;2.963261
5301;0.017782;0.000024;0.000021;0.004566;0.010169;0.010437;3.064187
5321;0.016453;0.000011;0.000014;0.004406;0.013116;0.013941;3.108681
5341;0.018130;0.000024;0.000025;0.004897;0.012076;0.010423;3.125859
5361;0.017634;0.000014;0.000019;0.004939;0.011754;0.010771;3.141418
5381;0.016238;0.000016;0.000021;0.004491;0.011530;0.011362;3.122916
5401;0.013199;0.000022;0.000025;0.004931;0.008590;0.009352;3.189523
5421;0.018347;0.000021;0.000019;0.005368;0.009636;0.008481;3.190387
5441;0.018862;0.000024;0.000027;0.005266;0.008371;0.007202;3.086548
5461;0.017709;0.000013;0.000019;0.005284;0.014061;0.014057;3.264561
5481;0.018769;0.000036;0.000021;0.005222;0.009421;0.008840;3.225844
5501;0.019356;0.000020;0.000020;0.005497;0.011748;0.010664;3.183634
5521;0.019137;0.000017;0.000022;0.004961;0.013483;0.013627;3.327842
5541;0.019290;0.000016;0.000020;0.005495;0.013704;0.013411;3.349960
5561;0.019457;0.000022;0.000022;0.005000;0.011075;0.011647;3.107997
5581;0.019593;0.000029;0.000031;0.005795;0.011010;0.011203;3.261326
5601;0.020362;0.000017;0.000022;0.004952;0.013237;0.013234;3.344177
5621;0.015208;0.000030;0.000019;0.003990;0.010838;0.010576;3.313695
5641;0.019807;0.000019;0.000019;0.005579;0.010924;0.008088;3.292942
5661;0.019379;0.000017;0.000021;0.004872;0.013130;0.012451;3.411756
5681;0.014069;0.000012;0.000014;0.003716;0.008142;0.008191;3.465773
5701;0.020327;0.000016;0.000020;0.005614;0.011697;0.011434;3.504809
5721;0.019585;0.000012;0.000015;0.005721;0.017093;0.014468;3.390257
5741;0.021059;0.000011;0.000015;0.003805;0.012490;0.015003;3.196454
5761;0.015779;0.000030;0.000029;0.004122;0.009928;0.009716;3.518325
5781;0.014795;0.000022;0.000015;0.003813;0.012570;0.012740;3.282589
5801;0.020586;0.000023;0.000019;0.005691;0.012276;0.011682;3.353860
5821;0.021355;0.000016;0.000018;0.006034;0.010984;0.010527;3.385191
5841;0.021338;0.000027;0.000026;0.006108;0.011925;0.010899;3.474253
5861;0.015732;0.000025;0.000025;0.006129;0.014202;0.013706;3.573637
5881;0.020019;0.000028;0.000022;0.005067;0.012700;0.012348;3.442242
5901;0.016314;0.000023;0.000034;0.004797;0.017257;0.017255;3.505628
5921;0.016779;0.000017;0.000022;0.006705;0.011445;0.010953;3.299587
5941;0.023530;0.000021;0.000026;0.006276;0.018576;0.019643;3.417596
5961;0.017221;0.000028;0.000034;0.005387;0.012803;0.013683;3.538623
5981;0.023491;0.000026;0.000031;0.006386;0.015032;0.015042;3.721450
6001;0.022895;0.000017;0.000020;0.005831;0.016261;0.016921;3.823378
6021;0.022876;0.000026;0.000038;0.006030;0.015524;0.017696;3.775509
6041;0.020973;0.000016;0.000019;0.004436;0.014023;0.014947;3.695785
6061;0.017069;0.000013;0.000015;0.004268;0.013982;0.013926;3.728789
6081;0.022386;0.000037;0.000025;0.006471;0.012023;0.012362;3.887185
6101;0.017063;0.000029;0.000020;0.004387;0.012875;0.015314;3.681138
6121;0.020474;0.000025;0.000023;0.005492;0.011187;0.011083;3.711365
6141;0.017616;0.000033;0.000026;0.007174;0.017621;0.016723;3.973027
6161;0.023112;0.000016;0.000020;0.006599;0.010803;0.009759;3.685418
6181;0.024103;0.000025;0.000019;0.004425;0.011164;0.010609;3.712370
6201;0.023756;0.000021;0.000021;0.005931;0.015478;0.014273;3.722200
6221;0.019056;0.000014;0.000018;0.005035;0.012470;0.012364;3.883007
6241;0.024158;0.000016;0.000020;0.004993;0.011924;0.014448;3.936314
6261;0.025696;0.000035;0.000045;0.006777;0.017141;0.018121;3.726645
6281;0.019293;0.000034;0.000030;0.005256;0.011432;0.010517;3.697503
6301;0.018059;0.000039;0.000031;0.004941;0.015275;0.015210;3.549145
6321;0.019244;0.000039;0.000034;0.005190;0.012043;0.012874;3.585454
6341;0.019414;0.000014;0.000025;0.005083;0.012421;0.012131;3.703504
6361;0.020592;0.000015;0.000018;0.005647;0.011535;0.011950;3.915811
6381;0.025702;0.000032;0.000027;0.007263;0.018654;0.017804;4.093832
6401;0.018370;0.000029;0.000025;0.007188;0.022148;0.022847;4.137412
6421;0.019485;0.000037;0.000042;0.006105;0.015097;0.015796;3.924622
6441;0.027635;0.000034;0.000035;0.005258;0.012783;0.013990;3.810756
6461;0.021420;0.000063;0.000047;0.009044;0.012286;0.013007;3.864745
6481;0.019613;0.000014;0.000018;0.005089;0.013859;0.013881;3.960685
6501;0.019558;0.000013;0.000017;0.005109;0.014368;0.014355;3.897731
6521;0.027056;0.000018;0.000023;0.007165;0.019666;0.018910;3.901239
6541;0.027416;0.000040;0.000040;0.005608;0.010682;0.011081;4.108642
6561;0.024966;0.000023;0.000032;0.007665;0.021289;0.021701;4.127859
6581;0.021436;0.000037;0.000039;0.005788;0.014571;0.014829;4.258247
6601;0.019402;0.000018;0.000023;0.007864;0.015343;0.015931;4.544772
6621;0.019744;0.000054;0.000030;0.006653;0.022625;0.022695;4.247974
6641;0.028638;0.000021;0.000038;0.008152;0.021186;0.020351;4.455176
6661;0.026811;0.000018;0.000022;0.006499;0.014377;0.014004;4.436516
6681;0.026791;0.000035;0.000029;0.005481;0.015264;0.016430;4.474926
6701;0.028125;0.000018;0.000023;0.007888;0.019294;0.018513;4.550595
6721;0.028120;0.000018;0.000023;0.007853;0.012927;0.012940;4.498302
6741;0.027194;0.000032;0.000035;0.007898;0.014620;0.015512;4.340214
6761;0.027960;0.000028;0.000026;0.008499;0.015336;0.016381;4.520011
6781;0.020093;0.000029;0.000027;0.008405;0.019696;0.018984;4.465119
6801;0.028940;0.000020;0.000024;0.008288;0.015796;0.015774;4.361554
6821;0.029646;0.000013;0.000017;0.005523;0.018861;0.018317;4.474497
6841;0.025726;0.000025;0.000023;0.005406;0.011966;0.012816;4.464432
6861;0.021382;0.000026;0.000029;0.007777;0.020140;0.020738;4.506607
6881;0.021459;0.000028;0.000023;0.005593;0.017961;0.017863;4.680732
6901;0.023206;0.000037;0.000037;0.006069;0.016225;0.016050;4.573888
6921;0.021969;0.000032;0.000046;0.008115;0.016141;0.016108;4.780090
6941;0.025380;0.000013;0.000018;0.005702;0.024370;0.025339;4.902056
6961;0.028810;0.000029;0.000025;0.007381;0.019050;0.018131;4.935141
6981;0.028982;0.000029;0.000037;0.008809;0.021615;0.021785;4.897746
7001;0.030647;0.000036;0.000036;0.008507;0.021241;0.020216;4.938698
7021;0.030111;0.000018;0.000022;0.008703;0.018554;0.017844;4.769450
7041;0.030362;0.000018;0.000024;0.007334;0.021228;0.019904;5.018687
7061;0.030892;0.000019;0.000025;0.008048;0.015625;0.012057;4.975474
7081;0.031381;0.000036;0.000037;0.007885;0.022833;0.021539;4.906534
7101;0.030473;0.000021;0.000029;0.008454;0.019731;0.019748;5.137647
7121;0.032048;0.000033;0.000035;0.007854;0.023684;0.022294;4.939853
7141;0.031685;0.000053;0.000068;0.008727;0.022195;0.021425;5.066130
7161;0.031765;0.000030;0.000023;0.009074;0.014637;0.014665;4.998842
7181;0.023392;0.000030;0.000027;0.006729;0.015324;0.013941;5.251015
7201;0.023582;0.000021;0.000025;0.008633;0.022827;0.022927;5.149627
7221;0.032066;0.000025;0.000024;0.009203;0.016538;0.016016;5.265335
7241;0.032445;0.000040;0.000045;0.009020;0.022440;0.022415;5.089724
7261;0.032357;0.000032;0.000028;0.007949;0.023007;0.021356;5.264985
